City,Lat,Long,Max Temp (C),Humidity,Cloudiness,Windspeed,Country Code,Date
Severo-Kuril'sk,50.68,156.12,6.44,83,100,11.1,RU,1604350497
Meulaboh,4.14,96.13,25.07,83,100,2.28,ID,1604350497
Vaini,-21.2,-175.2,25.0,88,75,5.1,TO,1604350498
Temascalcingo,19.92,-100.0,24.44,33,3,2.24,MX,1604350498
Cuamba,-14.8,36.54,24.25,62,18,1.22,MZ,1604350498
Castro,-42.47,-73.77,16.11,71,75,1.5,CL,1604350498
Port Alfred,-33.59,26.89,19.37,81,40,9.26,ZA,1604350498
Murmansk Oblast,68.0,34.0,-1.43,97,100,5.95,RU,1604350499
Christchurch,-43.53,172.63,12.22,81,100,7.2,NZ,1604350333
Port Blair,11.67,92.75,26.69,81,100,2.28,IN,1604350499
Albany,-35.02,117.89,13.0,100,75,4.6,AU,1604350499
Bredasdorp,-34.53,20.04,19.0,82,37,6.7,ZA,1604350500
Puerto Ayora,-0.74,-90.35,27.0,61,75,7.2,EC,1604350500
Matamoros,25.53,-103.25,24.0,29,5,4.46,MX,1604350328
Pūrna,19.18,77.05,19.99,56,0,1.67,IN,1604350500
Hobart,-42.88,147.33,18.89,63,75,5.1,AU,1604350346
Nova Olímpia,-14.8,-57.29,31.79,40,6,0.91,BR,1604350501
Bilibino,68.05,166.44,-20.81,89,92,1.43,RU,1604350501
Vadsø,70.07,29.75,3.0,86,75,11.8,NO,1604350502
New Norfolk,-42.78,147.06,18.89,36,99,1.34,AU,1604350502
Busselton,-33.65,115.33,13.33,85,74,4.71,AU,1604350502
Atuona,-9.8,-139.03,25.29,76,22,8.99,PF,1604350503
Korla,41.76,86.15,2.48,72,1,0.62,CN,1604350503
Panguna,-6.32,155.48,24.06,87,25,0.46,PG,1604350503
Khatanga,71.97,102.5,-11.28,96,100,3.73,RU,1604350503
Tessalit,20.2,1.01,23.61,19,100,4.14,ML,1604350504
Madona,56.85,26.22,6.68,85,100,4.97,LV,1604350504
Coquimbo,-29.95,-71.34,15.0,72,75,5.1,CL,1604350504
Chui,-33.7,-53.46,17.08,71,32,3.93,UY,1604350266
Vardø,70.37,31.11,3.0,93,75,12.3,NO,1604350505
Lüderitz,-26.65,15.16,16.47,85,98,3.39,NA,1604350505
Prome,18.82,95.22,23.32,91,20,0.36,MM,1604350505
Coari,-4.08,-63.14,31.72,56,30,0.77,BR,1604350505
Avarua,-21.21,-159.78,22.0,88,100,2.6,CK,1604350395
Bosaso,11.28,49.18,24.89,81,8,1.29,SO,1604350506
Gwanda,-20.93,29.0,21.28,65,98,2.27,ZW,1604350506
Waynesboro,38.07,-78.89,9.0,21,1,3.6,US,1604350506
Hermanus,-34.42,19.23,18.33,84,1,3.13,ZA,1604350507
Ushuaia,-54.8,-68.3,16.0,55,20,2.1,AR,1604350383
Amazar,53.86,120.88,-12.66,80,57,2.19,RU,1604350507
Almaty,43.25,76.95,2.0,55,75,1.0,KZ,1604350508
Geraldton,-28.77,114.6,15.0,93,40,2.6,AU,1604350508
Arkhara,49.42,130.08,-6.45,96,100,6.7,RU,1604350508
Fortuna,40.6,-124.16,16.0,67,20,3.1,US,1604350509
Florence,34.05,-79.67,13.89,24,1,6.2,US,1604350509
Rikitea,-23.12,-134.97,22.32,80,6,8.14,PF,1604350509
Kavieng,-2.57,150.8,28.65,72,12,1.95,PG,1604350509
Hilo,19.73,-155.09,28.0,65,90,2.1,US,1604350397
Lavrentiya,65.58,-171.0,-6.71,87,0,1.6,RU,1604350510
Alofi,-19.06,-169.92,25.0,88,75,8.7,NU,1604350510
Aswān,24.09,32.91,22.37,43,0,5.66,EG,1604350510
Lorengau,-2.02,147.27,27.94,74,2,1.21,PG,1604350511
East London,-33.02,27.91,19.64,83,76,6.91,ZA,1604350511
Hokitika,-42.72,170.97,10.99,88,100,2.21,NZ,1604350511
Parangan,5.08,119.94,28.15,81,100,5.57,PH,1604350511
Hithadhoo,-0.6,73.08,28.3,74,83,4.95,MV,1604350511
Buala,-8.14,159.59,27.3,82,100,4.02,SB,1604350512
Ribeira Grande,38.52,-28.7,16.0,63,75,3.6,PT,1604350512
Bethel,41.37,-73.41,4.0,38,1,7.7,US,1604350512
Ahipara,-35.17,173.17,19.55,76,100,6.11,NZ,1604350512
Mayya,61.73,130.28,-23.0,83,90,1.0,RU,1604350513
Illéla,14.46,5.24,28.0,23,0,1.0,NE,1604350513
Diamantino,-14.41,-56.45,30.19,49,65,1.81,BR,1604350268
Petropavlovka,50.61,105.32,-5.47,86,91,0.76,RU,1604350513
Lebu,-37.62,-73.65,12.33,84,66,5.11,CL,1604350514
Norman Wells,65.28,-126.83,-13.0,71,75,3.6,CA,1604350514
Port Macquarie,-31.43,152.92,16.67,74,69,0.45,AU,1604350514
Talnakh,69.49,88.4,-9.0,92,100,1.0,RU,1604350514
Cockburn Town,21.46,-71.14,29.0,66,40,5.1,TC,1604350508
Nome,64.5,-165.41,-8.33,85,90,2.02,US,1604350515
Ust'-Uda,54.17,103.03,-4.19,92,100,1.26,RU,1604350515
Nikolskoye,59.7,30.79,6.0,87,90,6.0,RU,1604350515
Dikson,73.51,80.55,-9.31,97,100,4.48,RU,1604350516
Upernavik,72.79,-56.15,-8.32,92,97,3.55,GL,1604350516
Cabo San Lucas,22.89,-109.91,31.11,48,20,3.6,MX,1604350435
Maebaru-chūō,33.55,130.2,13.89,100,0,0.5,JP,1604350516
Drayton Valley,53.22,-114.99,11.42,53,100,3.53,CA,1604350517
Henties Bay,-22.12,14.28,15.56,86,94,1.34,NA,1604350517
Waingapu,-9.66,120.26,26.5,75,97,3.09,ID,1604350517
Departamento de Maldonado,-34.67,-54.92,19.0,68,20,7.2,UY,1604350286
Port Elizabeth,-33.92,25.57,18.0,88,0,7.2,ZA,1604350517
Avenal,36.0,-120.13,29.44,29,75,2.6,US,1604350518
Pringsewu,-5.36,104.97,23.61,89,48,1.96,ID,1604350518
Ubari,26.59,12.78,17.02,48,17,2.95,LY,1604350518
Ballangen,68.34,16.83,8.33,93,75,6.2,NO,1604350518
Angoram,-4.06,144.07,24.68,91,67,0.83,PG,1604350518
Pevek,69.7,170.31,-10.22,88,81,8.08,RU,1604350519
Cape Town,-33.93,18.42,20.0,82,0,4.6,ZA,1604350519
Mandalay,21.97,96.08,24.71,81,39,1.24,MM,1604350519
Tromsø,69.65,18.96,6.0,70,75,14.4,NO,1604350519
Havre-St-Pierre,50.23,-63.6,7.0,100,90,5.1,CA,1604350520
Leningradskiy,69.38,178.42,-8.62,86,100,1.75,RU,1604350520
Saint-Philippe,-21.36,55.77,22.0,56,90,2.1,RE,1604350520
Thinadhoo,0.53,72.93,28.27,75,100,4.01,MV,1604350520
Kapaa,22.08,-159.32,26.0,83,75,3.1,US,1604350520
Tefé,-3.35,-64.71,32.0,59,40,3.1,BR,1604350521
Udalguri,26.77,92.13,21.74,75,17,2.0,IN,1604350521
Esperance,-33.87,121.9,14.0,100,90,5.1,AU,1604350521
Chokurdakh,70.63,147.92,-23.2,90,99,4.72,RU,1604350522
Yulara,-25.24,130.99,24.0,23,19,2.1,AU,1604350522
Saint George,32.38,-64.68,23.33,100,90,8.2,BM,1604350522
Bubaque,11.28,-15.83,29.19,71,0,4.58,GW,1604350522
Bedford,45.13,-72.97,0.0,58,88,3.6,CA,1604350523
San Policarpo,12.18,125.51,25.45,85,100,2.77,PH,1604350523
San Patricio,19.22,-104.7,30.0,74,40,5.1,MX,1604350523
Gemeente Heerenveen,52.95,5.93,12.22,74,0,9.39,NL,1604350523
Bengkulu,-3.8,102.27,23.83,89,100,2.44,ID,1604350523
Jamestown,-15.94,-5.72,16.09,94,98,8.09,SH,1604350524
Andros Town,24.7,-77.77,25.0,94,75,8.7,BS,1604350524
Victoria,-4.62,55.45,25.0,94,75,5.1,SC,1604350499
Mar del Plata,-38.0,-57.56,19.0,52,40,5.1,AR,1604350440
Los Alamos,35.89,-106.31,17.78,25,1,1.18,US,1604350524
Tiksi,71.69,128.87,-17.55,89,100,1.98,RU,1604350525
Sur,22.57,59.53,20.66,52,0,0.98,OM,1604350525
Provideniya,64.38,-173.3,-1.0,68,75,5.0,RU,1604350525
Yellowknife,62.46,-114.35,-13.33,84,90,5.7,CA,1604350525
Paita,-5.09,-81.11,19.72,70,20,7.11,PE,1604350525
Yakeshi,49.28,120.73,-14.49,89,0,4.6,CN,1604350526
Ostrovnoy,68.05,39.51,1.69,85,96,13.96,RU,1604350526
Bluff,-46.6,168.33,12.22,75,38,0.89,NZ,1604350526
Santa Helena de Goiás,-17.81,-50.6,26.79,46,6,2.89,BR,1604350526
Santa Cruz,10.26,-85.59,25.0,100,75,2.6,CR,1604350527
Bonthe,7.53,-12.51,26.31,80,65,1.78,SL,1604350527
Anchorage,61.22,-149.9,-5.0,22,1,10.3,US,1604350256
Sistranda,63.73,8.83,8.0,87,75,7.2,NO,1604350527
Tasiilaq,65.61,-37.64,-2.0,54,0,2.1,GL,1604350527
Punta Arenas,-53.15,-70.92,13.0,58,75,3.6,CL,1604350250
Faanui,-16.48,-151.75,26.42,79,3,6.94,PF,1604350528
Fairbanks,64.84,-147.72,-22.0,83,75,0.67,US,1604350310
Saskylakh,71.92,114.08,-14.92,93,98,3.14,RU,1604350528
Ilulissat,69.22,-51.1,-6.0,67,40,6.2,GL,1604350529
Waipawa,-41.41,175.52,11.67,93,100,2.6,NZ,1604350529
Havelock,34.88,-76.9,12.0,30,1,6.2,US,1604350529
Klaksvík,62.23,-6.59,7.0,75,0,8.2,FO,1604350529
Thompson,55.74,-97.86,-6.0,92,90,1.5,CA,1604350233
Hambantota,6.12,81.12,25.9,82,82,3.47,LK,1604350530
Arraial do Cabo,-22.97,-42.03,22.0,56,20,4.1,BR,1604350530
Mabaruma,8.2,-59.78,22.14,98,100,0.12,GY,1604350530
Policoro,40.21,16.67,15.56,90,2,0.45,IT,1604350530
Qaanaaq,77.48,-69.36,-14.31,79,100,2.99,GL,1604350530
Champerico,14.3,-91.92,33.0,59,40,3.1,GT,1604350531
Pembroke,45.82,-77.12,0.0,85,90,5.1,CA,1604350302
Talara,-4.58,-81.27,18.99,76,23,6.78,PE,1604350531
Port-Gentil,-0.72,8.78,26.0,88,20,3.1,GA,1604350532
Brae,60.4,-1.35,8.0,75,94,8.7,GB,1604350532
Padang,-0.95,100.35,25.26,75,100,1.8,ID,1604350532
Butaritari,3.07,172.79,27.22,75,63,7.55,KI,1604350533
Katsina,12.99,7.6,27.11,27,71,2.81,NG,1604350533
Ayaviri,-14.89,-70.59,14.69,37,93,4.76,PE,1604350533
Sulangan,11.14,123.72,28.15,75,100,3.01,PH,1604350533
Fougamou,-1.22,10.58,21.97,93,100,0.4,GA,1604350534
Motygino,58.18,94.76,-5.9,98,68,2.65,RU,1604350534
Medvedka,61.16,46.39,-1.79,97,15,3.7,RU,1604350534
Praia da Vitória,38.73,-27.07,17.0,67,75,6.07,PT,1604350534
Kashgar,39.45,75.98,6.0,38,20,5.0,CN,1604350535
Georgetown,-7.93,-14.42,24.05,83,76,6.3,SH,1604350535
Vila Franca do Campo,37.72,-25.43,16.0,72,40,3.1,PT,1604350535
Morro Bay,35.37,-120.85,28.89,21,1,2.93,US,1604350302
Saint Paul Harbor,57.79,-152.41,-2.0,50,1,5.7,US,1604350536
Nanortalik,60.14,-45.24,-0.89,86,94,3.61,GL,1604350536
Tateyama,34.98,139.87,16.0,93,75,0.5,JP,1604350536
Madang,-5.22,145.8,25.93,81,100,1.98,PG,1604350536
Isla Mujeres,21.23,-86.73,28.0,78,75,5.1,MX,1604350536
‘Ewa Beach,21.32,-158.01,28.0,61,1,2.1,US,1604350298
Alice Springs,-23.7,133.88,19.0,20,0,3.22,AU,1604350321
Barrow,71.29,-156.79,-2.0,79,90,4.6,US,1604350537
Opuwo,-18.06,13.84,20.87,22,22,3.49,NA,1604350537
Gurupi,-11.73,-49.07,23.14,89,97,0.86,BR,1604350538
Sokoni,-6.43,39.55,25.0,83,40,2.6,TZ,1604350538
Turan,52.15,93.92,-3.44,92,100,0.08,RU,1604350538
Karpathos,35.51,27.21,20.0,52,75,6.2,GR,1604350538
Tuktoyaktuk,69.45,-133.04,-14.0,77,90,7.7,CA,1604350538
Kitimat,54.05,-128.65,7.22,95,100,1.51,CA,1604350539
Severo-Yeniseyskiy,60.37,93.04,-6.46,98,99,3.81,RU,1604350539
Belle Glade,26.68,-80.67,24.44,70,3,1.34,US,1604350539
Lake Charles,30.21,-93.2,23.0,40,5,3.6,US,1604350436
Santo Antônio do Sudoeste,-26.07,-53.73,21.71,57,100,1.24,BR,1604350540
Gorontalo,0.54,123.06,23.83,72,83,1.1,ID,1604350540
Yumen,40.28,97.2,2.25,67,0,4.62,CN,1604350540
Sterling,39.01,-77.43,9.0,31,20,7.7,US,1604350540
Zdvinsk,54.7,78.66,0.2,94,100,3.99,RU,1604350541
Mahébourg,-20.41,57.7,22.0,73,40,5.1,MU,1604350541
Barra Patuca,15.8,-84.28,25.58,87,100,9.98,HN,1604350541
Ilhabela,-23.78,-45.36,19.44,62,78,1.9,BR,1604350541
Imuris,30.78,-110.87,30.76,14,0,3.12,MX,1604350542
Mindelo,16.89,-24.98,27.0,69,0,6.7,CV,1604350542
Hūn,29.13,15.95,15.62,64,0,1.63,LY,1604350542
Odessa,31.85,-102.37,22.0,26,1,5.1,US,1604350452
Pochutla,15.74,-96.47,32.78,62,40,5.1,MX,1604350543
Tigzirt,36.89,4.12,20.37,51,0,1.97,DZ,1604350543
Marsá Maţrūḩ,31.35,27.25,20.0,68,40,2.6,EG,1604350543
Columbus,39.96,-83.0,8.89,31,1,7.2,US,1604350274
Cherskiy,68.75,161.3,-19.7,92,100,6.16,RU,1604350544
Salalah,17.02,54.09,25.0,57,0,2.6,OM,1604350544
Shenjiamen,29.96,122.3,18.05,56,0,9.07,CN,1604350544
Haines Junction,60.75,-137.51,-14.0,55,98,4.1,CA,1604350544
Hirara,24.8,125.28,24.71,77,100,14.21,JP,1604350544
Samos,37.76,26.98,17.0,59,20,4.1,GR,1604350545
Athens,33.96,-83.38,18.0,22,1,2.27,US,1604350366
Mongoumba,3.64,18.59,22.9,93,100,1.56,CF,1604350545
Rexburg,43.83,-111.79,17.78,19,1,2.2,US,1604350512
Honiara,-9.43,159.95,25.0,94,75,2.6,SB,1604350546
Torbay,47.67,-52.73,12.78,100,90,16.5,CA,1604350546
Russell,-35.26,174.12,19.44,88,100,3.13,NZ,1604350546
Puerto Rico,1.91,-75.14,29.08,67,65,0.27,CO,1604350546
Matagami,49.75,-77.63,-6.0,92,90,5.1,CA,1604350547
San Joaquin,-16.38,-58.39,33.06,32,75,2.95,BO,1604350547
Katsuura,35.13,140.3,16.0,93,75,0.5,JP,1604350547
Adrar,25.75,-1.0,23.09,22,0,3.94,DZ,1604350547
Kailua,21.4,-157.74,28.0,69,40,3.1,US,1604350547
Tiznit Province,29.58,-9.5,20.52,38,0,0.95,MA,1604350548
Nishihara,26.18,127.76,25.0,78,75,5.7,JP,1604350548
Caravelas,-17.71,-39.25,22.16,76,79,4.86,BR,1604350548
Tarko-Sale,64.92,77.78,-8.61,97,94,5.16,RU,1604350548
Homer,59.64,-151.55,-3.0,21,90,5.1,US,1604350548
Nemuro,43.32,145.57,10.56,88,93,7.76,JP,1604350549
Ambon City,-3.7,128.18,27.22,94,100,1.57,ID,1604350549
Aksarka,66.56,67.8,-8.14,95,67,4.79,RU,1604350549
Necochea,-38.55,-58.74,20.42,59,1,5.0,AR,1604350549
Lompoc,34.64,-120.46,24.44,68,1,6.2,US,1604350549
Taiobeiras,-15.81,-42.23,17.46,92,100,2.06,BR,1604350550
Belmonte,-15.86,-38.88,21.0,88,90,2.6,BR,1604350550
Sibolga,1.74,98.78,24.8,78,84,1.84,ID,1604350550
Ormara,25.21,64.64,25.21,44,0,5.41,PK,1604350550
New Plymouth,-39.07,174.08,16.11,88,100,4.92,NZ,1604350551
Rawson,-43.3,-65.1,24.82,26,100,3.48,AR,1604350551
Narsaq,60.92,-46.05,-5.0,49,75,3.1,GL,1604350551
Kaitangata,-46.28,169.85,13.89,62,33,1.79,NZ,1604350551
Springbok,-29.66,17.89,18.2,33,24,1.45,ZA,1604350551
Lékoni,-1.58,14.26,22.93,81,100,0.49,GA,1604350552
Jalu,29.03,21.55,18.3,57,0,4.68,LY,1604350487
Ponta do Sol,17.2,-25.09,27.0,69,0,6.7,CV,1604350552
Petropavlovka,50.61,105.32,-5.47,86,91,0.76,RU,1604350513
Mareeba,-17.0,145.43,25.0,78,40,6.2,AU,1604350553
Sucúa,-2.47,-78.17,26.0,61,40,4.1,EC,1604350553
Koslan,63.46,48.9,-2.16,92,7,4.08,RU,1604350553
Whitehorse,60.72,-135.05,-16.0,71,75,3.1,CA,1604350428
Rocha,-34.48,-54.33,16.6,72,16,3.75,UY,1604350286
Ponta do Sol,32.67,-17.1,21.0,73,75,5.7,PT,1604350554
Vanderhoof,54.02,-124.02,10.92,64,100,0.12,CA,1604350554
Xining,36.62,101.77,0.78,78,100,0.81,CN,1604350554
Clyde River,70.47,-68.59,-11.0,85,75,7.2,CA,1604350554
Distracción,10.9,-72.89,25.99,86,100,1.16,CO,1604350555
Tha Mai,12.62,102.0,24.54,87,6,2.27,TH,1604350555
Lewiston,44.1,-70.21,1.11,47,75,9.8,US,1604350555
Mokrousovo,55.81,66.77,-0.72,94,100,3.7,RU,1604350555
Watsa,3.04,29.54,18.72,98,99,0.98,CD,1604350556
Lianran,24.92,102.48,13.33,100,90,5.0,CN,1604350556
Merauke,-8.47,140.33,26.65,85,100,4.99,ID,1604350556
Guerrero Negro,27.98,-114.06,25.84,50,0,6.44,MX,1604350556
Spring Hill,28.48,-82.53,22.0,37,1,6.7,US,1604350557
Mutoko,-17.4,32.23,21.04,50,0,3.29,ZW,1604350557
Pingliang,35.54,106.69,5.06,62,99,1.19,CN,1604350558
Hibbing,47.43,-92.94,9.0,45,1,3.1,US,1604350558
Sitka,57.05,-135.33,6.0,75,90,1.5,US,1604350558
Vestmanna,62.16,-7.17,7.0,75,7,8.2,FO,1604350559
Waterloo,8.34,-13.07,26.47,80,7,1.68,SL,1604350559
Baie-Comeau,49.22,-68.15,0.0,94,90,9.8,CA,1604350559
Altamont,42.21,-121.74,21.67,31,1,1.5,US,1604350559
Porto Walter,-8.27,-72.74,31.42,47,76,1.17,BR,1604350560
Cardston,49.2,-113.3,20.0,20,38,11.3,CA,1604350560
Tilichiki,60.47,166.1,-1.32,99,100,0.33,RU,1604350560
Khuzhir,53.19,107.34,-3.27,91,100,3.2,RU,1604350560
Arlit,18.74,7.39,25.57,18,0,5.04,NE,1604350561
Tommot,58.96,126.29,-25.68,87,61,0.17,RU,1604350561
Hobyo,5.35,48.53,27.02,79,42,4.82,SO,1604350561
